gen,BASIS_RR,BASIS_D,REB_DUTY,feasible
12,0.711085,10.1668,1e+10,0
12,0.774263,10.1668,1e+10,0
12,0.781596,10.3313,1e+10,0
12,0.781596,10.3313,1e+10,0
12,0.781596,10.7023,1e+10,0
12,0.774263,10.3751,1e+10,0
12,0.774263,10.3751,1e+10,0
12,0.838544,10.3276,1e+10,0
12,0.838544,10.3312,1e+10,0
12,0.91844,10.1668,1e+10,0
12,0.91844,10.2051,1e+10,0
12,0.91844,10.1705,1e+10,0
12,0.91844,10.1705,1e+10,0
12,0.917349,10.2094,1e+10,0
12,0.917349,10.2094,1e+10,0
12,0.917356,10.2094,1e+10,0
12,0.917349,10.2094,1e+10,0
12,0.966195,10.2094,1e+10,0
12,0.917356,10.2094,1e+10,0
12,0.918432,11.5424,1e+10,0
12,0.918432,10.2106,1e+10,0
12,0.91844,10.2106,1e+10,0
12,0.91844,10.2106,1e+10,0
12,0.95491,10.2089,1e+10,0
12,0.95491,10.2239,1e+10,0
12,0.981846,10.4246,1e+10,0
12,0.958286,10.2444,1e+10,0
13,0.774263,10.1668,1e+10,0
13,0.774263,10.1668,1e+10,0
13,0.781791,10.1668,1e+10,0
13,0.774067,10.3313,1e+10,0
13,1.33194,10.3313,1e+10,0
13,0.774263,10.3751,1e+10,0
13,0.774263,10.3751,1e+10,0
13,0.838544,10.3275,1e+10,0
13,0.838544,10.3313,1e+10,0
13,0.91844,10.1668,1e+10,0
13,0.91844,10.1668,1e+10,0
13,0.91844,10.1705,1e+10,0
13,0.91844,10.1705,1e+10,0
13,0.917349,10.2094,1e+10,0
13,0.917349,10.2094,1e+10,0
13,0.917349,10.2094,1e+10,0
13,0.917356,10.2094,1e+10,0
13,0.917356,10.2094,1e+10,0
13,0.917356,10.2094,1e+10,0
13,0.918432,10.2106,1e+10,0
13,0.918432,10.2106,1e+10,0
13,1.37699,10.0982,1e+10,0
13,1.16178,11.6697,1e+10,0
13,0.918432,10.2106,1e+10,0
13,0.918432,10.2106,1e+10,0
13,1.07851,10.1607,1e+10,0
13,0.91844,10.2106,1e+10,0
13,0.95491,10.2089,1e+10,0
13,0.917889,10.2239,1e+10,0
14,0.774263,10.1668,1e+10,0
14,0.774263,10.1668,1e+10,0
14,0.781608,10.1668,1e+10,0
14,0.77425,10.3313,1e+10,0
14,1.00665,10.3313,1e+10,0
14,0.781596,10.0038,1e+10,0
14,1.01296,10.3313,1e+10,0
14,0.756427,10.2785,1e+10,0
14,0.839053,10.3313,1e+10,0
14,0.91793,10.1668,1e+10,0
14,0.91844,10.1668,1e+10,0
14,0.91844,10.0505,1e+10,0
14,0.917349,10.2094,1e+10,0
14,0.917349,10.2094,1e+10,0
14,0.917356,10.3112,1e+10,0
14,0.917325,10.2106,1e+10,0
14,0.918463,10.2093,1e+10,0
14,0.918432,10.2106,1e+10,0
14,0.918432,10.2106,1e+10,0
14,0.91844,10.2106,1e+10,0
14,0.918432,10.2106,1e+10,0
14,0.91844,11.3875,1e+10,0
15,0.774263,10.1668,1e+10,0
15,0.774263,10.1668,1e+10,0
15,0.774263,10.1668,1e+10,0
15,0.781596,10.7665,1e+10,0
15,0.781596,10.3313,1e+10,0
15,0.781596,10.3313,1e+10,0
15,0.781596,10.3313,1e+10,0
15,0.774263,19.7376,1e+10,0
15,0.774263,10.3751,1e+10,0
15,0.774263,10.3751,1e+10,0
15,0.837168,10.3751,1e+10,0
15,0.775639,12.0453,1e+10,0
15,0.838544,10.3313,1e+10,0
15,0.91844,10.1668,1e+10,0
15,0.91844,10.1668,1e+10,0
15,1.08958,10.1318,1e+10,0
15,0.917349,10.2094,1e+10,0
15,0.917349,10.2094,1e+10,0
15,0.917356,10.2094,1e+10,0
15,0.917356,10.2094,1e+10,0
15,0.918432,10.2106,1e+10,0
15,0.918432,10.1649,1e+10,0
15,0.918432,10.2106,1e+10,0
15,0.918432,10.2106,1e+10,0
16,0.774263,10.1668,1e+10,0
16,0.774263,10.1668,1e+10,0
16,0.774263,10.1721,1e+10,0
16,0.781596,10.326,1e+10,0
16,0.781596,10.3313,1e+10,0
16,0.781596,10.3313,1e+10,0
16,0.781596,13.4817,1e+10,0
16,0.624523,10.25,1e+10,0
16,0.774263,10.3751,1e+10,0
16,0.774263,10.3751,1e+10,0
16,0.774263,10.3751,1e+10,0
16,0.838544,10.3275,1e+10,0
16,0.838544,10.3313,1e+10,0
16,0.91844,10.1668,1e+10,0
16,0.91844,10.1705,1e+10,0
16,0.91844,10.1669,1e+10,0
16,0.933266,10.1705,1e+10,0
16,0.91844,10.8915,1e+10,0
16,0.91844,10.1705,1e+10,0
16,0.91844,10.1705,1e+10,0
16,0.917349,10.2094,1e+10,0
16,0.917349,10.2094,1e+10,0
16,0.988048,10.2094,1e+10,0
16,0.917349,10.2094,1e+10,0
16,0.917349,10.2094,1e+10,0
16,0.917356,10.2094,1e+10,0
16,0.917356,10.2094,1e+10,0
17,0.774263,10.1668,1e+10,0
17,0.774263,10.1668,1e+10,0
17,1.08119,10.3313,1e+10,0
17,0.781596,10.3313,1e+10,0
17,0.78159,10.3313,1e+10,0
17,0.774268,10.3751,1e+10,0
17,0.774263,10.3751,1e+10,0
17,0.774263,10.3751,1e+10,0
17,0.91844,10.1668,1e+10,0
17,0.91844,10.1868,1e+10,0
17,0.91844,10.1705,1e+10,0
17,0.91844,10.1705,1e+10,0
17,0.91844,10.1705,1e+10,0
17,0.91844,10.1705,1e+10,0
17,0.917349,11.8712,1e+10,0
17,0.917349,10.2094,1e+10,0
17,0.917349,10.2094,1e+10,0
17,0.844354,10.1922,1e+10,0
17,0.917349,10.2094,1e+10,0
17,0.917356,10.2094,1e+10,0
17,0.917356,10.2094,1e+10,0
17,0.917356,10.2094,1e+10,0
18,0.774263,10.1668,1e+10,0
18,0.774263,10.1668,1e+10,0
18,0.774263,10.1668,1e+10,0
18,0.774263,10.1668,1e+10,0
18,0.661034,11.0715,1e+10,0
18,0.781596,10.3313,1e+10,0
18,0.781596,10.2403,1e+10,0
18,0.781596,10.3313,1e+10,0
18,0.774263,10.3751,1e+10,0
18,0.774263,10.3751,1e+10,0
18,0.774263,10.3751,1e+10,0
18,0.774263,10.3751,1e+10,0
18,0.800648,15.5601,1e+10,0
18,0.838544,10.3313,1e+10,0
18,0.838544,10.3313,1e+10,0
18,0.91844,10.1668,1e+10,0
18,0.91844,10.1668,1e+10,0
18,0.91844,10.1668,1e+10,0
18,0.91844,10.1705,1e+10,0
18,0.91844,10.1705,1e+10,0
18,0.91844,15.8681,1e+10,0
18,0.917349,10.2094,1e+10,0
18,0.917349,10.2094,1e+10,0
18,0.917349,10.2094,1e+10,0
18,0.917349,10.2094,1e+10,0
19,0.774263,10.1668,1e+10,0
19,0.774263,10.1668,1e+10,0
19,0.774263,10.1668,1e+10,0
19,0.774263,10.1668,1e+10,0
19,0.781596,16.2797,1e+10,0
19,0.781596,10.3313,1e+10,0
19,0.781596,10.3313,1e+10,0
19,0.781596,10.3313,1e+10,0
19,0.774263,10.3751,1e+10,0
19,0.774263,10.3751,1e+10,0
19,0.774263,10.3751,1e+10,0
19,0.774263,10.3751,1e+10,0
19,0.630201,10.1739,1e+10,0
19,0.838707,10.3775,1e+10,0
19,0.838544,10.3275,1e+10,0
19,0.838544,10.3275,1e+10,0
19,0.838544,10.3275,1e+10,0
19,0.838544,10.3313,1e+10,0
19,0.838544,10.3313,1e+10,0
19,0.91844,10.0483,1e+10,0
19,0.91844,10.1668,1e+10,0
19,0.91844,10.1668,1e+10,0
19,0.91844,10.1705,1e+10,0
19,0.91844,10.1705,1e+10,0
20,0.774263,10.1668,1e+10,0
20,0.774263,10.1668,1e+10,0
20,0.774263,10.1668,1e+10,0
20,0.774263,10.1668,1e+10,0
20,0.781596,10.3313,1e+10,0
20,0.980934,10.3313,1e+10,0
20,0.781596,10.3313,1e+10,0
20,0.781596,10.3313,1e+10,0
20,0.563394,10.3313,1e+10,0
20,0.781596,10.3313,1e+10,0
20,0.774263,10.3118,1e+10,0
20,0.774263,10.3751,1e+10,0
20,0.774263,10.3751,1e+10,0
20,0.774263,10.3751,1e+10,0
20,0.774263,10.3751,1e+10,0
